Nome Pulsante/Scheda,Pagina di Partenza,Destinazione (PDF/URL),Ministero/Ente,Riferimento Normativo,URL Ufficiale di Destinazione,Status Lightbox,Protezioni Attive,Note
Dashboard Politica,Home (orologio),/landing/pol0/,Presidenza Consiglio,Politica 0 - Roadmap strategica,-,N/A,Anti-stampa completo,47 slide navigabili
Tre Pilastri,Home (orologio),Scheda informativa,Min. Sviluppo Economico,Tre pilastri strategici DMS,-,N/A,-,Q2 2025
Analisi & Problemi,Home (orologio),Scheda informativa,Min. PA e Innovazione,Analisi problematiche attuali,-,N/A,-,Q3 2025
Pilota Mercato,Home (orologio),Scheda informativa,Min. Sviluppo Economico,Progetto pilota mercati,-,N/A,-,Q1 2026
Hub Emilia-Romagna,Home (orologio),Scheda informativa,Regione Emilia-Romagna,Hub territoriali,-,N/A,-,Q2 2026
Gemello Digitale / SDG,Home (orologio),Scheda con 4 PDF,Min. PA e Innovazione,Single Digital Gateway,-,Lightbox attiva,P+S+Context,4 documenti PDF
Moduli & Servizi,Home (orologio),Scheda informativa,Min. PA e Innovazione,Modularità servizi,-,N/A,-,Q4 2026
Carbon Credit & ESG,Home (orologio),Scheda informativa,Min. Ambiente,Carbon Credit e ESG,-,N/A,-,Q1 2027
Bolkestein & Mercati,Home (orologio),Scheda informativa,UE - Mercato Interno,Direttiva Bolkestein,-,N/A,-,Q4 2027
All-in-One,Home (orologio),Scheda informativa,Min. PA e Innovazione,Sistema integrato,-,N/A,-,Q1 2028
Web3 / Token / On-chain,Home (orologio),Scheda informativa,Min. Sviluppo Economico,Blockchain e Web3,-,N/A,-,Q2 2028
Video & Timeline,Home (orologio),Scheda informativa,Min. PA e Innovazione,Timeline progetto,-,N/A,-,Q3 2028
Hub Nazionale del Commercio,Spot,/assets/doc/HUBNAZIONALEDELCOMMERCIO(2).pdf,Min. Sviluppo Economico,Hub commercio nazionale,-,✅ Funzionante,P+S+Context,Documenti Base
DMS & CLUST-ER,Spot,/assets/doc/DMSCLUSTER(2).pdf,Min. Università e Ricerca,Cluster tecnologici,-,✅ Funzionante,P+S+Context,Documenti Base
Dossier Nazionale,Spot,/assets/doc/dossier-nazionale.pdf,Presidenza Consiglio,Dossier strategico nazionale,-,✅ Funzionante,P+S+Context,Documenti Base
DMS - Riaccendiamo i Mercati,Spot,/assets/doc/RIACCENDIAMOIMERCATI(2).pdf,Min. Sviluppo Economico,Rivitalizzazione mercati,-,✅ Funzionante,P+S+Context,Documenti Base
Passaporto EU,Spot,/assets/doc/PASSAPORTOEU(2).pdf,UE - Cittadinanza,Passaporto digitale europeo,-,✅ Funzionante,P+S+Context,Documenti Base
Presentazione DMS (Bologna),Spot,/assets/doc/PRESENTAZIONEDMS(2).pdf,Regione Emilia-Romagna,Presentazione istituzionale,-,✅ Funzionante,P+S+Context,Documenti Base
Hub Urbani e di Prossimità,Spot,/assets/doc/HUBURBANI(2).pdf,Regione Emilia-Romagna,L.R. Emilia-Romagna hub urbani,-,✅ Funzionante,P+S+Context,Documenti Base
Gemello DMS,Spot,/assets/doc/GEMELLODMS(2).pdf,Min. PA e Innovazione,Digital twin sistemi,-,✅ Funzionante,P+S+Context,Documenti Base
DMS ECC (narrativo),Spot,/assets/doc/DMSECC(2).pdf,Min. PA e Innovazione,ECC narrativo,-,✅ Funzionante,P+S+Context,Documenti Base
DMS ECC (tecnico),Spot,/assets/doc/DMSECCTECNICO(2).pdf,Min. PA e Innovazione,ECC tecnico,-,✅ Funzionante,P+S+Context,Documenti Base
Carbon Credit – Logica,Spot,/assets/doc/CARBONCREDITLOGICA(2).pdf,Min. Ambiente,Reg. UE 2023/956 CBAM,-,✅ Funzionante,P+S+Context,Documenti Base
Carbon Credit DMS,Spot,/assets/doc/CARBONCREDITDMS(2).pdf,Min. Ambiente,Dir. UE 2023/959 ETS,-,✅ Funzionante,P+S+Context,Documenti Base
Ecosistema Costi PA,Spot,/assets/doc/ECOSISTEMACOSTIPA(2).pdf,Min. PA e Innovazione,Analisi costi PA,-,✅ Funzionante,P+S+Context,Documenti Base
Analisi & Soluzione DMS,Spot,/assets/doc/ANALISIESOLUZIONEDMS(2).pdf,Min. PA e Innovazione,Analisi soluzioni,-,✅ Funzionante,P+S+Context,Documenti Base
